Sum of Average_Salary,Year,Quarter,Month,Day,Email,Q1 - Which Title Best Fits your Current Role?.1,Sum of Q10 - Current Age,Q11 - Which Country do you live in?.1,Q12 - Highest Level of Education,Q13 - Ethnicity,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?.1,Q5 - Favorite Programming Language.1,Q5 - Favorite Programming Language.2,Sum of Q6 - How Happy are you in your Current Position with the following? (Coworkers),Sum of Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Sum of Q6 - How Happy are you in your Current Position with the following? (Management),Sum of Q6 - How Happy are you in your Current Position with the following? (Salary),Sum of Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Sum of Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Time Spent,Time Taken (America/New_York),Unique ID
53,2022,Qtr 2,June,10,anonymous,Data Analyst,36,Canada,"",Asian or Asian American,No,41k-65k,Finance,R,,5,3,2,1,1,2,Very Difficult,Remote Work,Male,1899-12-30 00:01:30,1899-12-30 08:40:00,62a33ba1bae91e4b8b82e35c
53,2022,Qtr 2,June,10,anonymous,Data Analyst,26,Canada,"",Other (Please Specify):South Asian,No,41k-65k,Finance,Python,,5,5,5,2,5,3,Difficult,Better Salary,Female,1899-12-30 00:02:08,1899-12-30 08:54:00,62a33efe0a77c1a77f65bf1e
75.5,2022,Qtr 2,June,10,anonymous,Data Analyst,37,Canada,"",White or Caucasian,Yes,66k-85k,Other,Python,,8,10,8,10,8,10,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:01:29,1899-12-30 08:45:00,62a33ce918134ddc75ce8c30
53,2022,Qtr 2,June,10,anonymous,Data Analyst,23,Canada,Bachelors,Asian or Asian American,No,41k-65k,Tech,R,,8,7,8,4,5,7,Easy,Better Salary,Male,1899-12-30 00:01:41,1899-12-30 09:54:00,62a34d1ff8f756164585465c
20,2022,Qtr 2,June,10,anonymous,Data Analyst,28,Canada,Bachelors,Asian or Asian American,Yes,0-40k,Other,Python,,8,10,5,5,7,10,Very Difficult,Other (Please Specify):Salary and expo,Male,1899-12-30 00:04:54,1899-12-30 21:57:00,62a3f6a25d257a28a30e9d02
53,2022,Qtr 2,June,10,anonymous,Data Analyst,25,Canada,Bachelors,Asian or Asian American,Yes,41k-65k,Other,Other,Knowledge of Excel and SQL yet,6,4,6,3,4,6,Easy,Better Salary,Male,1899-12-30 00:02:07,1899-12-30 09:40:00,62a349bbf8f756164585400d
53,2022,Qtr 2,June,10,anonymous,Data Analyst,25,Canada,Bachelors,Asian or Asian American,Yes,41k-65k,Other,Python,,9,4,9,9,7,9,Difficult,Better Salary,Male,1899-12-30 00:01:10,1899-12-30 09:36:00,62a348f2f8d5efcc22f7e2ba
75.5,2022,Qtr 2,June,10,anonymous,Data Analyst,33,Canada,Bachelors,Asian or Asian American,Yes,66k-85k,Other,Python,,7,9,1,0,0,0,Difficult,Better Salary,Male,1899-12-30 00:01:45,1899-12-30 10:56:00,62a35b965d257a28a30db899
95.5,2022,Qtr 2,June,10,anonymous,Data Analyst,34,Canada,Bachelors,Black or African American,Yes,86k-105k,Other,Other,NA,2,2,2,4,2,4,Easy,Remote Work,Female,1899-12-30 00:02:55,1899-12-30 15:57:00,62a3a231b4da29969c639b2c
53,2022,Qtr 2,June,10,anonymous,Data Analyst,29,Canada,Bachelors,Other (Please Specify),No,41k-65k,Other,Other,,8,4,8,6,4,10,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:02:59,1899-12-30 12:01:00,62a36ac6cf255543173063d8
53,2022,Qtr 2,June,10,anonymous,Data Analyst,50,Canada,Bachelors,White or Caucasian,Yes,41k-65k,Tech,Python,,4,4,4,3,4,5,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:01:55,1899-12-30 12:55:00,62a3777624a262602738997e
53,2022,Qtr 2,June,10,anonymous,Data Analyst,28,Canada,Masters,Asian or Asian American,Yes,41k-65k,Other,Python,,7,6,7,3,7,7,Difficult,Good Culture,Male,1899-12-30 00:02:58,1899-12-30 18:23:00,62a3c476bc6861bf3177ad9d
53,2022,Qtr 2,June,10,anonymous,Data Analyst,33,Canada,Masters,Black or African American,Yes,41k-65k,Tech,Python,,8,10,8,4,6,9,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:03:52,1899-12-30 16:09:00,62a3a4fdbae91e4b8b83ab6f
95.5,2022,Qtr 2,June,10,anonymous,Data Analyst,27,Canada,Masters,Other (Please Specify):Pakistani,No,86k-105k,Other,Python,,5,4,6,5,6,3,Difficult,Good Work/Life Balance,Male,1899-12-30 00:01:18,1899-12-30 18:17:00,62a3c30324a26260273909b9
53,2022,Qtr 2,June,10,anonymous,Data Engineer,37,Canada,Masters,White or Caucasian,Yes,41k-65k,Tech,Python,,5,7,0,0,0,7,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:03:01,1899-12-30 10:37:00,62a357390a77c1a77f65f189
